date,open_interest,ticker,expiration,type,strike
6/10/2016,1120,FB,6/17/2016,C,113
6/13/2016,1907,FB,6/17/2016,C,113
6/14/2016,1690,FB,6/17/2016,C,113
6/15/2016,1579,FB,6/17/2016,C,113
6/16/2016,3139,FB,6/17/2016,C,113
6/17/2016,1468,FB,6/17/2016,C,113
5/23/2016,367,FB,6/17/2016,C,114
5/24/2016,405,FB,6/17/2016,C,114
5/25/2016,409,FB,6/17/2016,C,114
5/26/2016,403,FB,6/17/2016,C,114
5/27/2016,404,FB,6/17/2016,C,114
5/31/2016,392,FB,6/17/2016,C,114
6/1/2016,416,FB,6/17/2016,C,114
6/2/2016,458,FB,6/17/2016,C,114
6/3/2016,484,FB,6/17/2016,C,114
6/6/2016,508,FB,6/17/2016,C,114
6/7/2016,509,FB,6/17/2016,C,114
6/8/2016,533,FB,6/17/2016,C,114
6/9/2016,613,FB,6/17/2016,C,114
6/10/2016,1242,FB,6/17/2016,C,114
6/13/2016,3993,FB,6/17/2016,C,114
6/14/2016,4606,FB,6/17/2016,C,114
6/15/2016,6489,FB,6/17/2016,C,114
6/16/2016,9683,FB,6/17/2016,C,114
6/17/2016,10496,FB,6/17/2016,C,114
5/2/2016,27024,FB,6/17/2016,C,115
5/3/2016,27138,FB,6/17/2016,C,115
5/4/2016,26757,FB,6/17/2016,C,115
5/5/2016,26573,FB,6/17/2016,C,115
5/6/2016,26020,FB,6/17/2016,C,115
5/9/2016,25955,FB,6/17/2016,C,115
5/10/2016,25511,FB,6/17/2016,C,115
5/11/2016,25179,FB,6/17/2016,C,115
5/12/2016,25471,FB,6/17/2016,C,115
5/13/2016,25223,FB,6/17/2016,C,115
5/16/2016,25333,FB,6/17/2016,C,115
5/17/2016,25344,FB,6/17/2016,C,115
5/18/2016,25294,FB,6/17/2016,C,115
5/19/2016,25251,FB,6/17/2016,C,115
5/20/2016,25849,FB,6/17/2016,C,115
5/23/2016,25959,FB,6/17/2016,C,115
5/24/2016,25188,FB,6/17/2016,C,115
5/25/2016,25545,FB,6/17/2016,C,115
5/26/2016,25345,FB,6/17/2016,C,115
5/27/2016,24961,FB,6/17/2016,C,115
5/31/2016,25229,FB,6/17/2016,C,115
6/1/2016,25141,FB,6/17/2016,C,115
6/2/2016,24741,FB,6/17/2016,C,115
6/3/2016,24537,FB,6/17/2016,C,115
6/6/2016,24521,FB,6/17/2016,C,115
6/7/2016,24390,FB,6/17/2016,C,115
6/8/2016,24143,FB,6/17/2016,C,115
6/9/2016,24425,FB,6/17/2016,C,115
6/10/2016,20405,FB,6/17/2016,C,115
6/13/2016,22875,FB,6/17/2016,C,115
6/14/2016,23524,FB,6/17/2016,C,115
6/15/2016,23760,FB,6/17/2016,C,115
6/16/2016,24496,FB,6/17/2016,C,115
6/17/2016,23852,FB,6/17/2016,C,115
5/23/2016,320,FB,6/17/2016,C,116
5/24/2016,409,FB,6/17/2016,C,116
5/25/2016,398,FB,6/17/2016,C,116
5/26/2016,387,FB,6/17/2016,C,116
5/27/2016,1474,FB,6/17/2016,C,116
5/31/2016,1864,FB,6/17/2016,C,116
6/1/2016,1911,FB,6/17/2016,C,116
6/2/2016,1932,FB,6/17/2016,C,116
6/3/2016,1769,FB,6/17/2016,C,116
6/6/2016,1121,FB,6/17/2016,C,116
6/7/2016,1317,FB,6/17/2016,C,116
6/8/2016,1304,FB,6/17/2016,C,116
6/9/2016,1634,FB,6/17/2016,C,116
6/10/2016,2188,FB,6/17/2016,C,116
6/13/2016,6272,FB,6/17/2016,C,116
6/14/2016,7787,FB,6/17/2016,C,116
6/15/2016,9715,FB,6/17/2016,C,116
6/16/2016,9845,FB,6/17/2016,C,116
6/17/2016,9043,FB,6/17/2016,C,116
5/23/2016,566,FB,6/17/2016,C,117
5/24/2016,5038,FB,6/17/2016,C,117
5/25/2016,5064,FB,6/17/2016,C,117
5/26/2016,5091,FB,6/17/2016,C,117
5/27/2016,5171,FB,6/17/2016,C,117
5/31/2016,5166,FB,6/17/2016,C,117
6/1/2016,5133,FB,6/17/2016,C,117
6/2/2016,5292,FB,6/17/2016,C,117
6/3/2016,5619,FB,6/17/2016,C,117
6/6/2016,5426,FB,6/17/2016,C,117
6/7/2016,5722,FB,6/17/2016,C,117
6/8/2016,5625,FB,6/17/2016,C,117
6/9/2016,5721,FB,6/17/2016,C,117
6/10/2016,7671,FB,6/17/2016,C,117
6/13/2016,9957,FB,6/17/2016,C,117
6/14/2016,10207,FB,6/17/2016,C,117
6/15/2016,10927,FB,6/17/2016,C,117
6/16/2016,10935,FB,6/17/2016,C,117
6/17/2016,10644,FB,6/17/2016,C,117
5/23/2016,447,FB,6/17/2016,C,118
5/24/2016,1669,FB,6/17/2016,C,118
5/25/2016,1859,FB,6/17/2016,C,118
5/26/2016,4963,FB,6/17/2016,C,118
5/27/2016,4734,FB,6/17/2016,C,118
5/31/2016,5952,FB,6/17/2016,C,118
6/1/2016,5812,FB,6/17/2016,C,118
6/2/2016,6073,FB,6/17/2016,C,118
6/3/2016,6187,FB,6/17/2016,C,118
6/6/2016,6249,FB,6/17/2016,C,118
6/7/2016,9765,FB,6/17/2016,C,118
6/8/2016,12428,FB,6/17/2016,C,118
6/9/2016,12252,FB,6/17/2016,C,118
6/10/2016,14193,FB,6/17/2016,C,118
6/13/2016,10624,FB,6/17/2016,C,118
6/14/2016,10441,FB,6/17/2016,C,118
6/15/2016,10590,FB,6/17/2016,C,118
6/16/2016,10294,FB,6/17/2016,C,118
6/17/2016,10131,FB,6/17/2016,C,118
5/23/2016,751,FB,6/17/2016,C,119
5/24/2016,960,FB,6/17/2016,C,119
5/25/2016,2496,FB,6/17/2016,C,119
5/26/2016,2956,FB,6/17/2016,C,119
5/27/2016,2997,FB,6/17/2016,C,119
5/31/2016,3330,FB,6/17/2016,C,119
6/1/2016,3394,FB,6/17/2016,C,119
6/2/2016,3527,FB,6/17/2016,C,119
6/3/2016,3410,FB,6/17/2016,C,119
6/6/2016,3962,FB,6/17/2016,C,119
6/7/2016,4563,FB,6/17/2016,C,119
6/8/2016,4865,FB,6/17/2016,C,119
6/9/2016,5388,FB,6/17/2016,C,119
6/10/2016,6642,FB,6/17/2016,C,119
6/13/2016,7438,FB,6/17/2016,C,119
6/14/2016,7808,FB,6/17/2016,C,119
6/15/2016,7746,FB,6/17/2016,C,119
6/16/2016,7628,FB,6/17/2016,C,119
6/17/2016,7517,FB,6/17/2016,C,119
5/2/2016,31593,FB,6/17/2016,C,120
5/3/2016,31897,FB,6/17/2016,C,120
5/4/2016,32408,FB,6/17/2016,C,120
5/5/2016,33028,FB,6/17/2016,C,120
5/6/2016,36562,FB,6/17/2016,C,120
5/9/2016,45312,FB,6/17/2016,C,120
5/10/2016,43940,FB,6/17/2016,C,120
5/11/2016,45091,FB,6/17/2016,C,120
5/12/2016,45117,FB,6/17/2016,C,120
5/13/2016,45299,FB,6/17/2016,C,120
5/16/2016,45626,FB,6/17/2016,C,120
5/17/2016,46832,FB,6/17/2016,C,120
5/18/2016,46310,FB,6/17/2016,C,120
5/19/2016,46957,FB,6/17/2016,C,120
5/20/2016,48048,FB,6/17/2016,C,120
5/23/2016,50764,FB,6/17/2016,C,120
5/24/2016,52563,FB,6/17/2016,C,120
5/25/2016,56662,FB,6/17/2016,C,120
5/26/2016,57948,FB,6/17/2016,C,120
5/27/2016,58645,FB,6/17/2016,C,120
5/31/2016,58157,FB,6/17/2016,C,120
6/1/2016,57795,FB,6/17/2016,C,120
6/2/2016,57692,FB,6/17/2016,C,120
6/3/2016,57125,FB,6/17/2016,C,120
6/6/2016,57628,FB,6/17/2016,C,120
6/7/2016,56967,FB,6/17/2016,C,120
6/8/2016,53943,FB,6/17/2016,C,120
6/9/2016,54602,FB,6/17/2016,C,120
6/10/2016,54620,FB,6/17/2016,C,120
6/13/2016,54240,FB,6/17/2016,C,120
6/14/2016,53872,FB,6/17/2016,C,120
6/15/2016,53208,FB,6/17/2016,C,120
6/16/2016,52628,FB,6/17/2016,C,120
6/17/2016,51538,FB,6/17/2016,C,120
5/23/2016,474,FB,6/17/2016,C,121
5/24/2016,1742,FB,6/17/2016,C,121
5/25/2016,1881,FB,6/17/2016,C,121
5/26/2016,2365,FB,6/17/2016,C,121
5/27/2016,2603,FB,6/17/2016,C,121
5/31/2016,2768,FB,6/17/2016,C,121
6/1/2016,2849,FB,6/17/2016,C,121
6/2/2016,3148,FB,6/17/2016,C,121
6/3/2016,3610,FB,6/17/2016,C,121
6/6/2016,4387,FB,6/17/2016,C,121
6/7/2016,4643,FB,6/17/2016,C,121
6/8/2016,4841,FB,6/17/2016,C,121
6/9/2016,5920,FB,6/17/2016,C,121
6/10/2016,5852,FB,6/17/2016,C,121
6/13/2016,4810,FB,6/17/2016,C,121
6/14/2016,4723,FB,6/17/2016,C,121
6/15/2016,4854,FB,6/17/2016,C,121
6/16/2016,4740,FB,6/17/2016,C,121
6/17/2016,4672,FB,6/17/2016,C,121
5/23/2016,8135,FB,6/17/2016,C,122
5/24/2016,8574,FB,6/17/2016,C,122
5/25/2016,8848,FB,6/17/2016,C,122
5/26/2016,10321,FB,6/17/2016,C,122
5/27/2016,10541,FB,6/17/2016,C,122
5/31/2016,11473,FB,6/17/2016,C,122
6/1/2016,11679,FB,6/17/2016,C,122
6/2/2016,11923,FB,6/17/2016,C,122
6/3/2016,11950,FB,6/17/2016,C,122
6/6/2016,13670,FB,6/17/2016,C,122
6/7/2016,13723,FB,6/17/2016,C,122
6/8/2016,13936,FB,6/17/2016,C,122
6/9/2016,14071,FB,6/17/2016,C,122
6/10/2016,14626,FB,6/17/2016,C,122
6/13/2016,14078,FB,6/17/2016,C,122
6/14/2016,13813,FB,6/17/2016,C,122
6/15/2016,14129,FB,6/17/2016,C,122
6/16/2016,14122,FB,6/17/2016,C,122
6/17/2016,14064,FB,6/17/2016,C,122
5/23/2016,271,FB,6/17/2016,C,123
5/24/2016,644,FB,6/17/2016,C,123
5/25/2016,837,FB,6/17/2016,C,123
